locus_tag	ftype	length_bp	gene	EC_number	COG	product
EKCPCKJH_02564	CDS	1797	narX	2.7.13.3		Nitrate/nitrite sensor protein NarX
EKCPCKJH_02565	CDS	651	narL_2		COG2197	Nitrate/nitrite response regulator protein NarL
EKCPCKJH_02566	CDS	1395				Invasin
EKCPCKJH_02567	CDS	354	ychN		COG1553	Protein YchN
EKCPCKJH_02568	CDS	717	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
EKCPCKJH_02569	CDS	231	chaB		COG4572	Putative cation transport regulator ChaB
EKCPCKJH_02570	CDS	1101	chaA		COG0387	Sodium-potassium/proton antiporter ChaA
EKCPCKJH_02571	CDS	108	ldrA_1			Small toxic polypeptide LdrA
EKCPCKJH_02572	CDS	108	ldrA_2			Small toxic polypeptide LdrA
EKCPCKJH_02573	CDS	108	ldrA_3			Small toxic polypeptide LdrA
EKCPCKJH_02574	CDS	855	kdsA	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
EKCPCKJH_02575	CDS	810				hypothetical protein
EKCPCKJH_02576	CDS	393	ychQ		COG3094	Protein YchQ
EKCPCKJH_02577	CDS	834	prmC	2.1.1.297	COG2890	Release factor glutamine methyltransferase
EKCPCKJH_02578	CDS	1083	prfA		COG0216	Peptide chain release factor RF1
EKCPCKJH_02579	CDS	1257	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
EKCPCKJH_02580	CDS	624	lolB		COG3017	Outer-membrane lipoprotein LolB
EKCPCKJH_02581	CDS	852	ispE	2.7.1.148	COG1947	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
EKCPCKJH_02582	CDS	1014	prs_2	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
EKCPCKJH_02583	CDS	1653	dauA		COG0659	C4-dicarboxylic acid transporter DauA
EKCPCKJH_02584	CDS	279				hypothetical protein
EKCPCKJH_02585	CDS	585	pth	3.1.1.29	COG0193	Peptidyl-tRNA hydrolase
EKCPCKJH_02586	CDS	1092	ychF		COG0012	Ribosome-binding ATPase YchF
EKCPCKJH_02587	CDS	180				hypothetical protein
EKCPCKJH_02588	CDS	2868				hypothetical protein
EKCPCKJH_02589	CDS	1920	dhaR		COG3284	PTS-dependent dihydroxyacetone kinase operon regulatory protein
EKCPCKJH_02590	CDS	1071	dhaK	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, dihydroxyacetone-binding subunit DhaK
EKCPCKJH_02591	CDS	633	dhaL	2.7.1.121	COG2376	PEP-dependent dihydroxyacetone kinase, ADP-binding subunit DhaL
EKCPCKJH_02592	CDS	1419	dhaM	2.7.1.121	COG1080	PEP-dependent dihydroxyacetone kinase, phosphoryl donor subunit DhaM
EKCPCKJH_02593	CDS	1698	treA	3.2.1.28	COG1626	Periplasmic trehalase
EKCPCKJH_02594	CDS	441				hypothetical protein
EKCPCKJH_02595	CDS	255				hypothetical protein
EKCPCKJH_02596	CDS	735	ycgR		COG5581	Flagellar brake protein YcgR
EKCPCKJH_02597	CDS	612	emtA	4.2.2.-	COG0741	Endo-type membrane-bound lytic murein transglycosylase A
EKCPCKJH_02598	CDS	915	ldcA	3.4.17.13	COG1619	Murein tetrapeptide carboxypeptidase
EKCPCKJH_02599	CDS	1737	cvrA		COG3263	K(+)/H(+) antiporter NhaP2
EKCPCKJH_02600	CDS	150				hypothetical protein
EKCPCKJH_02601	CDS	1071	dadX	5.1.1.1	COG0787	Alanine racemase, catabolic
EKCPCKJH_02602	CDS	1299	dadA	1.4.99.-	COG0665	D-amino acid dehydrogenase
EKCPCKJH_02603	CDS	1533				hypothetical protein
EKCPCKJH_02604	CDS	720	fadR		COG2186	Fatty acid metabolism regulator protein
EKCPCKJH_02605	CDS	1542	nhaB		COG3067	Na(+)/H(+) antiporter NhaB
EKCPCKJH_02606	CDS	531	dsbB		COG1495	Disulfide bond formation protein B
EKCPCKJH_02607	CDS	1269	umuC		COG0389	Protein UmuC
EKCPCKJH_02608	CDS	420	umuD	3.4.21.-	COG1974	Protein UmuD
EKCPCKJH_02609	CDS	510	hlyE_1			Hemolysin E, chromosomal
EKCPCKJH_02610	CDS	261	hlyE_2			Hemolysin E, chromosomal
EKCPCKJH_02611	CDS	447				hypothetical protein
EKCPCKJH_02612	CDS	660	ycgM		COG0179	putative protein YcgM
EKCPCKJH_02613	CDS	294	ycgL		COG3100	Protein YcgL
EKCPCKJH_02614	CDS	402	pliG			Inhibitor of g-type lysozyme
EKCPCKJH_02615	CDS	369				hypothetical protein
EKCPCKJH_02616	CDS	696	minC		COG0850	Septum site-determining protein MinC
EKCPCKJH_02617	CDS	813	minD		COG2894	Septum site-determining protein MinD
EKCPCKJH_02618	CDS	267	minE		COG0851	Cell division topological specificity factor
EKCPCKJH_02619	CDS	327				putative autotransporter
EKCPCKJH_02620	CDS	285				hypothetical protein
EKCPCKJH_02621	CDS	330	ymgD			putative protein YmgD
EKCPCKJH_02622	CDS	2322				hypothetical protein
EKCPCKJH_02623	CDS	210				hypothetical protein
EKCPCKJH_02624	CDS	219	ymgF			Inner membrane protein YmgF
EKCPCKJH_02625	CDS	1524	pdeG	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeG
EKCPCKJH_02626	CDS	249	ymgC			putative protein YmgC
EKCPCKJH_02627	CDS	267	ariR			putative two-component-system connector protein AriR
EKCPCKJH_02628	CDS	237	ycgZ			putative two-component-system connector protein YcgZ
EKCPCKJH_02629	CDS	1212	bluF			Blue light- and temperature-regulated antirepressor BluF
EKCPCKJH_02630	CDS	732	bluR		COG0789	HTH-type transcriptional repressor BluR
EKCPCKJH_02631	CDS	405	ydfO		COG5562	putative protein YdfO
EKCPCKJH_02632	CDS	1251	icd	1.1.1.42	COG0538	Isocitrate dehydrogenase [NADP]
EKCPCKJH_02633	CDS	654	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
EKCPCKJH_02634	CDS	462	nudJ	3.6.1.-	COG0494	Phosphatase NudJ
EKCPCKJH_02635	CDS	1107	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
EKCPCKJH_02636	CDS	642	hflD		COG2915	High frequency lysogenization protein HflD
EKCPCKJH_02637	CDS	1371	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
EKCPCKJH_02638	CDS	672	phoP			Transcriptional regulatory protein PhoP
EKCPCKJH_02639	CDS	1461	phoQ	2.7.13.3	COG0642	Sensor protein PhoQ
EKCPCKJH_02640	CDS	1122	roxA	1.14.11.47	COG2850	50S ribosomal protein L16 3-hydroxylase
EKCPCKJH_02641	CDS	1230	pepT	3.4.11.4	COG2195	Peptidase T
EKCPCKJH_02642	CDS	1137	potA_2	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
EKCPCKJH_02643	CDS	858	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
EKCPCKJH_02644	CDS	795	ydcV_2			Inner membrane ABC transporter permease protein YdcV
EKCPCKJH_02645	CDS	1047	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
EKCPCKJH_02646	CDS	822	cobB	2.3.1.286	COG0846	NAD-dependent protein deacylase
EKCPCKJH_02647	CDS	912	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
EKCPCKJH_02648	CDS	1239	lolE		COG4591	Lipoprotein-releasing system transmembrane protein LolE
EKCPCKJH_02649	CDS	702	lolD_1	3.6.3.-	COG1136	Lipoprotein-releasing system ATP-binding protein LolD
EKCPCKJH_02650	CDS	1200	lolC		COG4591	Lipoprotein-releasing system transmembrane protein LolC
EKCPCKJH_02651	CDS	1074	ycfT		COG4763	Inner membrane protein YcfT
EKCPCKJH_02652	CDS	3495	mfd	3.6.4.-	COG1197	Transcription-repair-coupling factor
EKCPCKJH_02653	CDS	960	ycfS	2.-.-.-	COG1376	putative L,D-transpeptidase YcfS
EKCPCKJH_02654	CDS	258	bhsA_2			Multiple stress resistance protein BhsA
EKCPCKJH_02655	CDS	696	comR			HTH-type transcriptional repressor ComR
EKCPCKJH_02656	CDS	540				hypothetical protein
EKCPCKJH_02657	CDS	1305	ndh	1.6.99.3	COG1252	NADH dehydrogenase
EKCPCKJH_02658	CDS	543				hypothetical protein
EKCPCKJH_02659	CDS	1026	nagZ	3.2.1.52	COG1472	Beta-hexosaminidase
EKCPCKJH_02660	CDS	825	thiK	2.7.1.89	COG0510	Thiamine kinase
EKCPCKJH_02661	CDS	642	lpoB		COG3417	Penicillin-binding protein activator LpoB
EKCPCKJH_02662	CDS	378				hypothetical protein
EKCPCKJH_02663	CDS	360	hinT	3.9.1.-	COG0537	Purine nucleoside phosphoramidase
EKCPCKJH_02664	CDS	2190	fhuE		COG4773	FhuE receptor
EKCPCKJH_02665	CDS	1434	ptsG		COG1263	PTS system glucose-specific EIICB component
EKCPCKJH_02666	CDS	798	ycfH	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
EKCPCKJH_02667	CDS	1005	holB	2.7.7.7	COG0470	DNA polymerase III subunit delta'
EKCPCKJH_02668	CDS	642	tmk	2.7.4.9	COG0125	Thymidylate kinase
EKCPCKJH_02669	CDS	1023	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
EKCPCKJH_02670	CDS	810	pabC	4.1.3.38	COG0115	Aminodeoxychorismate lyase
EKCPCKJH_02671	CDS	1242	fabF	2.3.1.179	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 2
EKCPCKJH_02672	CDS	237	acpP_2			Acyl carrier protein
EKCPCKJH_02673	CDS	735	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
EKCPCKJH_02674	CDS	930	fabD	2.3.1.39	COG0331	Malonyl CoA-acyl carrier protein transacylase
EKCPCKJH_02675	CDS	954	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
EKCPCKJH_02676	CDS	1041	plsX	2.3.1.274	COG0416	Phosphate acyltransferase
EKCPCKJH_02677	CDS	174	rpmF		COG0333	50S ribosomal protein L32
EKCPCKJH_02678	CDS	522	yceD		COG1399	Large ribosomal RNA subunit accumulation protein YceD
EKCPCKJH_02679	CDS	624	yceF	3.6.1.-	COG0424	7-methyl-GTP pyrophosphatase
EKCPCKJH_02680	CDS	960	rluC	5.4.99.24	COG0564	Ribosomal large subunit pseudouridine synthase C
EKCPCKJH_02681	CDS	3186	rne	3.1.26.12	COG1530	Ribonuclease E
EKCPCKJH_02682	CDS	954	flgL_1		COG1344	Flagellar hook-associated protein 3
EKCPCKJH_02683	CDS	1644	flgK		COG1256	Flagellar hook-associated protein 1
EKCPCKJH_02684	CDS	942	flgJ	3.2.1.-	COG1705	Peptidoglycan hydrolase FlgJ
EKCPCKJH_02685	CDS	1098	flgI_1			Flagellar P-ring protein
EKCPCKJH_02686	CDS	699	flgH_1			Flagellar L-ring protein
EKCPCKJH_02687	CDS	783	flgG_1		COG4786	Flagellar basal-body rod protein FlgG
EKCPCKJH_02688	CDS	756	flgF_1		COG4787	Flagellar basal-body rod protein FlgF
EKCPCKJH_02689	CDS	1206	flgE_1		COG1749	Flagellar hook protein FlgE
EKCPCKJH_02690	CDS	696	flgD		COG1843	Basal-body rod modification protein FlgD
EKCPCKJH_02691	CDS	405	flgC_1		COG1558	Flagellar basal-body rod protein FlgC
EKCPCKJH_02692	CDS	417	flgB_1		COG1815	Flagellar basal body rod protein FlgB
EKCPCKJH_02693	CDS	660	flgA		COG1261	Flagella basal body P-ring formation protein FlgA
EKCPCKJH_02694	CDS	294	flgM		COG2747	Negative regulator of flagellin synthesis
EKCPCKJH_02695	CDS	417	flgN		COG3418	Flagella synthesis protein FlgN
EKCPCKJH_02696	CDS	1536	murJ		COG0728	Lipid II flippase MurJ
EKCPCKJH_02697	CDS	924	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
EKCPCKJH_02698	CDS	648				hypothetical protein
EKCPCKJH_02699	CDS	585	rimJ	2.3.1.267	COG1670	[Ribosomal protein S5]-alanine N-acetyltransferase
EKCPCKJH_02700	CDS	1209	mdtH			Multidrug resistance protein MdtH
EKCPCKJH_02701	CDS	648	grxB		COG2999	Glutaredoxin 2
EKCPCKJH_02702	CDS	561	yceB			putative lipoprotein YceB
EKCPCKJH_02703	CDS	1047	pyrC	3.5.2.3	COG0418	Dihydroorotase
EKCPCKJH_02704	CDS	246	dinI			DNA damage-inducible protein I
EKCPCKJH_02705	CDS	255	bssS			Biofilm regulator BssS
EKCPCKJH_02706	CDS	1119	solA	1.5.3.-	COG0665	N-methyl-L-tryptophan oxidase
EKCPCKJH_02707	CDS	114	yceO			putative protein YceO
EKCPCKJH_02708	CDS	567	yceJ		COG3038	Cytochrome b561 
EKCPCKJH_02709	CDS	576	yceI		COG2353	Protein YceI
EKCPCKJH_02710	CDS	1053				hypothetical protein
EKCPCKJH_02711	CDS	921	lpxL	2.3.1.241	COG1560	Lipid A biosynthesis lauroyltransferase
EKCPCKJH_02712	CDS	1227	sbnD			Staphyloferrin B transporter
EKCPCKJH_02713	CDS	375				hypothetical protein
EKCPCKJH_02714	CDS	228				hypothetical protein
EKCPCKJH_02715	CDS	2514	mdoH	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
EKCPCKJH_02716	CDS	1503	mdoG		COG3131	Glucans biosynthesis protein G
EKCPCKJH_02717	CDS	1158	mdoC	2.1.-.-		Glucans biosynthesis protein C
EKCPCKJH_02718	CDS	1482	clsC	2.7.8.-	COG1502	Cardiolipin synthase C
EKCPCKJH_02719	CDS	534	ymdB	3.1.1.106	COG2110	O-acetyl-ADP-ribose deacetylase
EKCPCKJH_02720	CDS	312	ymdA			putative protein YmdA
EKCPCKJH_02721	CDS	333	csgC			Curli assembly protein CsgC
EKCPCKJH_02722	CDS	456	csgA			Major curlin subunit
EKCPCKJH_02723	CDS	456	csgB			Minor curlin subunit
EKCPCKJH_02724	CDS	651	csgD		COG2771	CsgBAC operon transcriptional regulatory protein
EKCPCKJH_02725	CDS	390	csgE			Curli production assembly/transport component CsgE
EKCPCKJH_02726	CDS	417	csgF			Curli production assembly/transport component CsgF
EKCPCKJH_02727	CDS	834	csgG		COG1462	Curli production assembly/transport component CsgG
EKCPCKJH_02728	CDS	522	ycdZ			Inner membrane protein YcdZ
EKCPCKJH_02729	CDS	555	ycdY		COG3381	Chaperone protein YcdY
EKCPCKJH_02730	CDS	738	ycdX	3.1.3.-	COG1387	putative phosphatase YcdX
EKCPCKJH_02731	CDS	939	ghrA	1.1.1.79	COG0111	Glyoxylate/hydroxypyruvate reductase A
EKCPCKJH_02732	tRNA	88				tRNA-Ser(gga)
EKCPCKJH_02733	CDS	687				hypothetical protein
EKCPCKJH_02734	CDS	789	phoH_2		COG1702	Protein PhoH
EKCPCKJH_02735	CDS	297				hypothetical protein
EKCPCKJH_02736	CDS	1272	efeB	1.11.1.-	COG2837	Deferrochelatase/peroxidase EfeB
EKCPCKJH_02737	CDS	1128	efeO		COG2822	Iron uptake system component EfeO
EKCPCKJH_02738	CDS	831	efeU		COG0672	Ferrous iron permease EfeU
EKCPCKJH_02739	CDS	1509	putP		COG0591	Sodium/proline symporter
EKCPCKJH_02740	CDS	210				hypothetical protein
EKCPCKJH_02741	CDS	3963	putA		COG0506	Bifunctional protein PutA
EKCPCKJH_02742	CDS	639	rutR		COG1309	HTH-type transcriptional regulator RutR
EKCPCKJH_02743	CDS	1092	rutA	1.14.99.46	COG2141	Pyrimidine monooxygenase RutA
EKCPCKJH_02744	CDS	696	rutB	3.5.1.110	COG1335	Peroxyureidoacrylate/ureidoacrylate amidohydrolase RutB
EKCPCKJH_02745	CDS	387	rutC	1.-.-.-	COG0251	Putative aminoacrylate peracid reductase RutC
EKCPCKJH_02746	CDS	801	rutD	3.5.1.-		Putative aminoacrylate hydrolase RutD
EKCPCKJH_02747	CDS	591	rutE	1.1.1.298	COG0778	putative malonic semialdehyde reductase RutE
EKCPCKJH_02748	CDS	495	rutF	1.5.1.42	COG1853	FMN reductase (NADH) RutF
EKCPCKJH_02749	CDS	1329	rutG		COG2233	Putative pyrimidine permease RutG
EKCPCKJH_02750	CDS	174				hypothetical protein
EKCPCKJH_02751	CDS	597	wrbA	1.6.5.2	COG0655	NAD(P)H dehydrogenase (quinone)
EKCPCKJH_02752	CDS	228	yccJ			putative protein YccJ
EKCPCKJH_02753	CDS	1242	agp	3.1.3.10		Glucose-1-phosphatase
EKCPCKJH_02754	CDS	1257				hypothetical protein
EKCPCKJH_02755	CDS	921	cbpA		COG2214	Curved DNA-binding protein
EKCPCKJH_02756	CDS	306	cbpM			Chaperone modulatory protein CbpM
EKCPCKJH_02757	CDS	600	torD		COG3381	Chaperone protein TorD
EKCPCKJH_02758	CDS	2547	torA	1.7.2.3	COG0243	Trimethylamine-N-oxide reductase 1
EKCPCKJH_02759	CDS	1173	torC		COG3005	Cytochrome c-type protein TorC
EKCPCKJH_02760	CDS	693	torR		COG0745	TorCAD operon transcriptional regulatory protein TorR
EKCPCKJH_02761	CDS	1029	torT		COG1879	Periplasmic protein TorT
EKCPCKJH_02762	CDS	2700	torS	2.7.13.3	COG0784	Sensor protein TorS
EKCPCKJH_02763	CDS	1074	yccM		COG0348	Putative electron transport protein YccM
EKCPCKJH_02764	CDS	174	gnsA			Protein GnsA
EKCPCKJH_02765	CDS	213	cspG		COG1278	Cold shock-like protein CspG
EKCPCKJH_02766	CDS	378			COG1662	IS1 family transposase IS1R
EKCPCKJH_02767	CDS	276			COG1662	IS1 family transposase IS1A
EKCPCKJH_02768	CDS	645	gfcB_1			putative lipoprotein GfcB
EKCPCKJH_02769	CDS	747				hypothetical protein
EKCPCKJH_02770	CDS	2097				hypothetical protein
EKCPCKJH_02771	CDS	1161				hypothetical protein
EKCPCKJH_02772	CDS	447	etp	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase Etp
EKCPCKJH_02773	CDS	2181	etk	2.7.10.-	COG0489	Tyrosine-protein kinase etk
EKCPCKJH_02774	CDS	1299	appA			Periplasmic AppA protein
EKCPCKJH_02775	CDS	93	appX			Putative cytochrome bd-II ubiquinol oxidase subunit AppX
EKCPCKJH_02776	CDS	1137	appB	7.1.1.3	COG1294	Cytochrome bd-II ubiquinol oxidase subunit 2
EKCPCKJH_02777	CDS	1545	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
EKCPCKJH_02778	CDS	858				hypothetical protein
EKCPCKJH_02779	CDS	399	hyaE			Hydrogenase-1 operon protein HyaE
EKCPCKJH_02780	CDS	588	hyaD	3.4.23.-	COG0680	Hydrogenase 1 maturation protease
EKCPCKJH_02781	CDS	708	hyaC		COG1969	putative Ni/Fe-hydrogenase 1 B-type cytochrome subunit
EKCPCKJH_02782	CDS	1794	hyaB	1.12.99.6	COG0374	Hydrogenase-1 large chain
EKCPCKJH_02783	CDS	1119	hyaA	1.12.99.6	COG1740	Hydrogenase-1 small chain
EKCPCKJH_02784	tRNA	88				tRNA-Ser(tga)
EKCPCKJH_02785	CDS	660	yccA		COG0670	Modulator of FtsH protease YccA
EKCPCKJH_02786	CDS	330	tusE	2.8.1.-	COG2920	Sulfurtransferase TusE
EKCPCKJH_02787	CDS	279	yccX	3.6.1.7	COG1254	Acylphosphatase
EKCPCKJH_02788	CDS	1176	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
EKCPCKJH_02789	CDS	318	hspQ		COG3785	Heat shock protein HspQ
EKCPCKJH_02790	CDS	414	yccU		COG1832	putative protein YccU
EKCPCKJH_02791	CDS	663				hypothetical protein
EKCPCKJH_02792	CDS	459	mgsA	4.2.3.3	COG1803	Methylglyoxal synthase
EKCPCKJH_02793	CDS	2055	helD	3.6.4.12	COG0210	DNA helicase IV
EKCPCKJH_02794	CDS	447	yccF		COG3304	Inner membrane protein YccF
EKCPCKJH_02795	CDS	2163	yccS		COG1289	Inner membrane protein YccS
EKCPCKJH_02796	CDS	630	sxy		COG3070	Protein Sxy
EKCPCKJH_02797	CDS	510	sulA		COG5404	Cell division inhibitor SulA
EKCPCKJH_02798	CDS	1053	ompA_2		COG2885	Outer membrane protein A
EKCPCKJH_02799	CDS	453	matP		COG3120	Macrodomain Ter protein
EKCPCKJH_02800	CDS	1761	lon_1	3.4.21.53		Lon protease
EKCPCKJH_02801	CDS	627	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
EKCPCKJH_02802	CDS	168	rmf		COG3130	Ribosome modulation factor
EKCPCKJH_02803	CDS	564	pqiC		COG3009	Intermembrane transport lipoprotein PqiC
EKCPCKJH_02804	CDS	1641	pqiB		COG3008	Intermembrane transport protein PqiB
EKCPCKJH_02805	CDS	1254	pqiA		COG2995	Intermembrane transport protein PqiA
EKCPCKJH_02806	CDS	1908	uup		COG0488	ABC transporter ATP-binding protein uup
EKCPCKJH_02807	CDS	2109	rlmL		COG0116	Ribosomal RNA large subunit methyltransferase K/L
EKCPCKJH_02808	CDS	1110	ycbX		COG0633	putative protein YcbX
EKCPCKJH_02809	CDS	543	zapC			Cell division protein ZapC
EKCPCKJH_02810	CDS	1011	pyrD	1.3.5.2	COG0167	Dihydroorotate dehydrogenase (quinone)
EKCPCKJH_02811	CDS	690	ycbF		COG3121	putative fimbrial chaperone YcbF
EKCPCKJH_02812	CDS	564	ycbV_1		COG3539	putative fimbrial-like protein YcbV
EKCPCKJH_02813	CDS	543	ycbU		COG3539	putative fimbrial-like protein YcbU
EKCPCKJH_02814	CDS	1071	elfG_1		COG3539	putative fimbrial-like protein ElfG
EKCPCKJH_02815	CDS	2601	elfC_1		COG3188	putative outer membrane usher protein ElfC
EKCPCKJH_02816	CDS	702	elfD		COG3121	putative fimbrial chaperone protein ElfD
EKCPCKJH_02817	CDS	543	elfA			Laminin-binding fimbrial subunit ElfA
EKCPCKJH_02818	CDS	576	ssuE	1.5.1.38	COG0431	FMN reductase (NADPH)
EKCPCKJH_02819	CDS	960	ssuA			Putative aliphatic sulfonates-binding protein
EKCPCKJH_02820	CDS	1146	ssuD	1.14.14.5	COG2141	Alkanesulfonate monooxygenase
EKCPCKJH_02821	CDS	792	ssuC_1		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
EKCPCKJH_02822	CDS	768	ssuB	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
EKCPCKJH_02823	CDS	2613	pepN	3.4.11.2	COG0308	Aminopeptidase N
EKCPCKJH_02824	CDS	1203	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
EKCPCKJH_02825	CDS	1401	asnS	6.1.1.22	COG0017	Asparagine--tRNA ligase
EKCPCKJH_02826	CDS	1089	ompF		COG3203	Outer membrane porin F
EKCPCKJH_02827	CDS	1191	aspC	2.6.1.1	COG1448	Aspartate aminotransferase
EKCPCKJH_02828	CDS	648	gloC	3.1.2.6	COG0491	Hydroxyacylglutathione hydrolase GloC
EKCPCKJH_02829	CDS	549				hypothetical protein
EKCPCKJH_02830	CDS	1848	ycbB	2.-.-.-	COG2989	putative L,D-transpeptidase YcbB
EKCPCKJH_02831	CDS	4461	mukB		COG3096	Chromosome partition protein MukB
EKCPCKJH_02832	CDS	705	mukE		COG3095	Chromosome partition protein MukE
EKCPCKJH_02833	CDS	1323	mukF		COG3006	Chromosome partition protein MukF
EKCPCKJH_02834	CDS	786	cmoM	2.1.1.-	COG0500	tRNA 5-carboxymethoxyuridine methyltransferase
EKCPCKJH_02835	CDS	780				hypothetical protein
EKCPCKJH_02836	CDS	894				hypothetical protein
EKCPCKJH_02837	CDS	747	kdsB	2.7.7.38	COG1212	3-deoxy-manno-octulosonate cytidylyltransferase
EKCPCKJH_02838	CDS	183				hypothetical protein
EKCPCKJH_02839	CDS	1233				hypothetical protein
EKCPCKJH_02840	CDS	987	lpxK	2.7.1.130	COG1663	Tetraacyldisaccharide 4'-kinase
EKCPCKJH_02841	CDS	1749	msbA_1	7.5.2.6	COG1132	Lipid A export ATP-binding/permease protein MsbA
EKCPCKJH_02842	CDS	2265				hypothetical protein
EKCPCKJH_02843	CDS	285	ihfB		COG0776	Integration host factor subunit beta
EKCPCKJH_02844	CDS	1674	rpsA		COG0539	30S ribosomal protein S1
EKCPCKJH_02845	CDS	684	cmk	2.7.4.25	COG0283	Cytidylate kinase
EKCPCKJH_02846	CDS	765	ycaL	3.4.-.-	COG0501	Metalloprotease YcaL
EKCPCKJH_02847	CDS	1284	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
EKCPCKJH_02848	CDS	1089	serC	2.6.1.52	COG1932	Phosphoserine aminotransferase
EKCPCKJH_02849	CDS	693				hypothetical protein
EKCPCKJH_02850	CDS	1761	ycaO		COG1944	Ribosomal protein S12 methylthiotransferase accessory factor YcaO
EKCPCKJH_02851	CDS	858	focA		COG2116	putative formate transporter 1
EKCPCKJH_02852	CDS	2283	pflB	2.3.1.54	COG1882	Formate acetyltransferase 1
EKCPCKJH_02853	CDS	255				hypothetical protein
EKCPCKJH_02854	CDS	1164				hypothetical protein
EKCPCKJH_02855	CDS	480				hypothetical protein
EKCPCKJH_02856	CDS	2448				hypothetical protein
EKCPCKJH_02857	CDS	276				hypothetical protein
EKCPCKJH_02858	CDS	519				hypothetical protein
EKCPCKJH_02859	CDS	1191	gpFI_2			Putative prophage major tail sheath protein
EKCPCKJH_02860	CDS	810				hypothetical protein
EKCPCKJH_02861	CDS	531				hypothetical protein
EKCPCKJH_02862	CDS	2046				hypothetical protein
EKCPCKJH_02863	CDS	531				hypothetical protein
EKCPCKJH_02864	CDS	909				hypothetical protein
EKCPCKJH_02865	CDS	348				hypothetical protein
EKCPCKJH_02866	CDS	636				hypothetical protein
EKCPCKJH_02867	CDS	453				hypothetical protein
EKCPCKJH_02868	CDS	468				hypothetical protein
EKCPCKJH_02869	CDS	159				hypothetical protein
EKCPCKJH_02870	CDS	426				hypothetical protein
EKCPCKJH_02871	CDS	426				hypothetical protein
EKCPCKJH_02872	CDS	498				hypothetical protein
EKCPCKJH_02873	CDS	282				hypothetical protein
EKCPCKJH_02874	CDS	204				hypothetical protein
EKCPCKJH_02875	CDS	510				hypothetical protein
EKCPCKJH_02876	CDS	744				hypothetical protein
EKCPCKJH_02877	CDS	1074				hypothetical protein
EKCPCKJH_02878	CDS	855				hypothetical protein
EKCPCKJH_02879	CDS	1773				hypothetical protein
EKCPCKJH_02880	CDS	1020				hypothetical protein
EKCPCKJH_02881	CDS	708				hypothetical protein
EKCPCKJH_02882	CDS	1185				hypothetical protein
EKCPCKJH_02883	CDS	117				hypothetical protein
EKCPCKJH_02884	CDS	1545				hypothetical protein
EKCPCKJH_02885	CDS	249				hypothetical protein
EKCPCKJH_02886	CDS	2277				hypothetical protein
EKCPCKJH_02887	CDS	276				hypothetical protein
EKCPCKJH_02888	CDS	225				hypothetical protein
EKCPCKJH_02889	CDS	303				hypothetical protein
EKCPCKJH_02890	CDS	225				hypothetical protein
EKCPCKJH_02891	CDS	501				hypothetical protein
EKCPCKJH_02892	CDS	171				hypothetical protein
EKCPCKJH_02893	CDS	357				hypothetical protein
EKCPCKJH_02894	CDS	249				hypothetical protein
EKCPCKJH_02895	CDS	996	xerC_3			Tyrosine recombinase XerC
EKCPCKJH_02896	CDS	798	pflA	1.97.1.4	COG1180	Pyruvate formate-lyase 1-activating enzyme
EKCPCKJH_02897	CDS	591	azoR_2	1.7.1.17		FMN-dependent NADH-azoreductase
EKCPCKJH_02898	CDS	909	pgrR_2			HTH-type transcriptional regulator PgrR
EKCPCKJH_02899	CDS	1431	ycaM		COG0531	Inner membrane transporter YcaM
EKCPCKJH_02900	CDS	1149	ycaD			putative MFS-type transporter YcaD
